name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-2548,NO,1,5,6,4,5,5,5
GENE-2549,NO,1,0,0,1,0,0,2
GENE-2550,NO,1,0,0,0,0,0,0
GENE-2551,NO,1,228,300,259,351,273,261
GENE-2552,NO,1,0,0,0,0,0,0
GENE-2553,NO,1,0,0,0,0,0,0
GENE-2554,NO,1,5,4,0,22,3,8
GENE-2555,NO,1,0,0,0,0,0,0
GENE-2557,NO,1,43,43,52,31,47,23
GENE-2558,NO,1,0,0,0,0,0,0
GENE-2559,NO,1,0,0,0,0,0,0
GENE-2560,NO,1,70,54,68,145,96,70
GENE-2561,NO,1,49,35,16,34,62,28
GENE-2562,NO,1,3,3,2,2,0,0
GENE-2563,NO,1,0,0,0,0,0,0
GENE-2564,NO,1,241,170,199,213,260,193
GENE-2565,NO,1,3668,3808,3936,3696,4227,4061
GENE-2566,NO,1,0,0,0,0,0,0
GENE-2567,NO,1,72,66,48,71,66,54
GENE-2568,NO,1,0,0,0,0,0,0
GENE-2569,NO,1,0,0,0,0,0,0
GENE-2570,NO,1,0,0,0,0,0,0
GENE-2571,NO,1,133,164,124,118,141,196
GENE-2572,NO,1,0,0,0,0,0,0
GENE-2573,NO,1,0,0,0,0,0,0
GENE-2574,NO,1,0,0,0,0,0,0
GENE-2575,NO,1,4,5,4,2,4,10
GENE-2576,NO,1,0,0,0,0,0,0
GENE-2577,NO,1,1,0,0,2,0,0
GENE-2578,NO,1,0,0,0,0,0,0
GENE-2579,NO,1,0,0,0,0,0,0
GENE-2580,NO,1,0,0,0,0,0,0
GENE-2581,NO,1,0,0,0,0,0,0
GENE-2582,NO,1,0,0,0,0,0,0
GENE-2583,NO,1,0,0,0,0,0,0
GENE-2584,NO,1,0,0,0,0,0,0
GENE-2585,NO,1,0,0,0,0,0,0
GENE-2586,NO,1,0,1,1,1,1,2
GENE-2587,NO,1,696,755,837,824,662,817
GENE-2588,NO,1,0,0,0,0,0,0
GENE-2589,NO,1,0,0,0,0,0,0
GENE-2590,NO,1,0,0,0,0,0,0
GENE-2591,NO,1,0,0,0,0,0,0
GENE-2592,NO,1,0,0,0,0,0,0
GENE-2593,NO,1,168,135,154,174,193,193
GENE-2594,NO,1,0,0,0,0,0,0
GENE-2595,NO,1,0,0,0,0,0,0
GENE-2596,NO,1,0,0,0,0,0,0
GENE-2597,NO,1,0,0,0,0,0,0
GENE-2598,NO,1,0,0,0,0,0,0
GENE-2599,NO,1,0,0,0,0,0,0
GENE-2600,NO,1,34,37,41,48,48,26
GENE-2601,NO,1,86,104,74,61,76,70
GENE-2602,NO,1,0,1,1,2,2,2
GENE-2603,NO,1,0,0,0,0,0,0
GENE-2604,NO,1,0,0,0,0,0,0
GENE-2605,NO,1,438,621,549,573,398,487
GENE-2606,NO,1,130,143,116,134,94,123
GENE-2607,NO,1,0,0,0,0,0,0
GENE-2608,NO,1,0,0,0,0,0,0
GENE-2609,NO,1,0,0,0,0,0,0
GENE-2610,NO,1,706,704,678,680,535,611
GENE-2611,NO,1,0,3,1,1,5,4
GENE-2612,YES,1,0,0,0,0,0,0
GENE-2613,NO,1,0,0,0,0,0,0
GENE-2614,NO,1,0,0,0,0,0,0
GENE-2615,NO,1,0,0,0,0,0,0
GENE-2616,NO,1,21,25,24,41,25,29
GENE-2617,NO,1,117,98,73,69,107,90
GENE-2618,NO,1,0,0,0,0,0,0
GENE-2619,NO,1,85,94,97,102,79,110
GENE-2620,NO,1,5,5,0,3,7,4
GENE-2621,NO,1,101,0,0,14,1,382
GENE-2622,NO,1,0,0,0,0,0,0
GENE-2623,NO,1,0,0,0,0,0,0
GENE-2624,NO,1,0,0,0,0,0,0
GENE-2625,NO,1,0,0,0,0,0,0
GENE-2626,NO,1,50,93,58,34,52,94
GENE-2627,YES,1,0,0,0,0,0,0
GENE-2628,NO,1,0,1,2,1,0,0
GENE-2629,NO,1,0,0,0,0,0,0
GENE-2630,NO,1,0,0,0,0,0,0
GENE-2631,NO,1,41,25,48,24,68,32
GENE-2632,NO,1,14,13,9,9,10,8
GENE-2633,NO,1,0,0,0,0,0,0
GENE-2634,NO,1,0,0,0,0,0,0
GENE-2635,NO,1,0,0,0,0,0,0
GENE-2636,NO,1,1,6,2,2,3,3
GENE-2637,NO,1,0,0,0,0,0,0
GENE-2638,NO,1,0,0,0,0,0,0
GENE-2639,NO,1,0,0,0,0,1,0
GENE-2640,NO,1,482,532,539,542,507,620
GENE-2641,NO,1,0,0,0,0,0,0
GENE-2642,NO,1,0,0,0,0,0,0
GENE-2643,NO,1,0,0,0,0,0,0
GENE-2644,NO,1,0,0,0,0,0,0
GENE-2645,NO,1,0,0,0,0,0,0
GENE-2646,NO,1,83,204,31,50,50,36
GENE-2647,NO,1,69,60,59,76,74,86
GENE-2648,NO,1,0,0,0,0,0,0
GENE-2649,NO,1,2,5,6,5,2,8
GENE-2650,NO,1,0,0,0,0,0,0
GENE-2651,NO,1,111,147,143,167,170,110
GENE-2652,NO,1,0,0,0,0,0,0
GENE-2653,NO,1,23,12,15,16,34,6
GENE-2654,NO,1,95,114,229,121,102,136
GENE-2655,NO,1,0,0,0,0,0,0
GENE-2656,NO,1,0,0,0,0,0,0
GENE-2657,NO,1,0,0,0,0,0,0
GENE-2658,NO,1,0,0,0,0,0,0
GENE-2659,NO,1,0,0,0,0,0,0
GENE-2660,NO,1,0,0,0,0,0,0
GENE-2661,NO,1,0,0,0,0,0,0
GENE-2662,NO,1,0,0,0,0,0,0
GENE-2663,NO,1,0,0,0,0,0,0
GENE-2664,NO,1,0,0,0,0,0,0
GENE-2665,NO,1,39,34,33,28,32,31
GENE-2666,NO,1,0,0,0,0,0,0
GENE-2667,NO,1,0,0,0,0,0,0
GENE-2668,NO,1,190,280,281,222,249,243
GENE-2669,NO,1,1,0,0,0,1,1
GENE-2670,NO,1,270,300,347,216,250,316
GENE-2671,NO,1,0,0,0,0,0,0
GENE-2672,NO,1,0,0,0,0,0,0
GENE-2673,YES,1,0,0,0,0,0,0
GENE-2674,NO,1,0,0,0,0,0,0
GENE-2676,NO,1,0,0,0,0,0,0
GENE-2677,NO,1,0,0,0,0,0,0
GENE-2678,NO,1,33,29,33,27,24,29
GENE-2679,NO,1,0,0,0,0,0,0
GENE-2680,NO,1,383,428,371,399,383,432
GENE-2681,NO,1,213,128,109,174,122,140
GENE-2682,NO,1,0,0,0,0,0,0
GENE-2683,NO,1,0,0,0,0,0,0
GENE-2684,NO,1,0,0,0,0,0,0
GENE-2685,NO,1,0,0,0,0,0,0
GENE-2686,NO,1,0,0,0,0,0,0
GENE-2687,NO,1,44,39,30,31,31,14
GENE-2688,NO,1,0,0,0,0,0,0
GENE-2689,NO,1,1,1106,1144,33,2,260
GENE-2690,NO,1,356,136,146,392,116,402
GENE-2691,NO,1,60,54,53,41,41,54
GENE-2692,NO,1,5,13,4,3,10,19
GENE-2693,NO,1,7,1,0,1,4,0
GENE-2694,NO,1,0,0,0,0,0,0
GENE-2695,NO,1,0,0,0,0,0,0
GENE-2696,NO,1,0,0,0,0,0,0
GENE-2697,NO,1,0,0,0,0,0,0
GENE-2698,NO,1,2,11,12,1,11,11
GENE-2699,NO,1,0,0,0,0,0,0
GENE-2700,NO,1,91,144,114,123,89,115
GENE-2701,YES,1,0,0,0,0,0,0
GENE-2702,NO,1,0,0,0,0,0,0
GENE-2703,NO,1,0,0,0,0,0,0
GENE-2704,NO,1,0,0,0,0,0,0
GENE-2705,NO,1,0,0,0,0,0,0
GENE-2706,NO,1,1480,1387,1461,1364,1443,1489
GENE-2707,NO,1,0,0,0,0,0,0
GENE-2708,NO,1,0,0,0,0,1,0
GENE-2709,NO,1,0,0,0,0,0,0
GENE-2710,NO,1,3,2,1,5,7,4
GENE-2711,NO,1,0,0,0,0,0,0
GENE-2712,NO,1,0,0,0,0,0,0
GENE-2713,NO,1,0,0,0,0,0,0
GENE-2714,NO,1,0,0,0,0,0,0
GENE-2715,NO,1,0,0,0,0,0,0
GENE-2716,NO,1,0,0,0,0,0,0
GENE-2717,NO,1,327,332,328,407,320,337
GENE-2718,NO,1,0,0,0,0,0,0
GENE-2719,NO,1,0,0,0,0,0,0
GENE-2720,NO,1,0,0,0,0,0,0
GENE-2721,NO,1,0,0,0,0,0,0
GENE-2722,NO,1,0,0,0,0,0,0
GENE-2723,NO,1,0,0,0,0,0,0
GENE-2724,NO,1,0,0,0,0,0,0
GENE-2725,NO,1,3044,4044,3333,4771,3793,2794
GENE-2726,NO,1,8,6,6,7,10,6
GENE-2727,NO,1,0,0,0,0,0,0
GENE-2728,NO,1,0,0,0,0,0,0
GENE-2729,NO,1,0,0,0,0,0,0
GENE-2730,NO,1,0,0,0,0,0,0
GENE-2731,NO,1,10,18,23,14,15,20
GENE-2732,NO,1,4,3,4,4,6,4
GENE-2733,NO,1,0,0,0,0,0,0
GENE-2734,NO,1,0,0,0,0,0,0
GENE-2735,NO,1,0,0,0,0,0,0
GENE-2736,NO,1,275,127,444,200,187,555
GENE-2737,NO,1,0,1,1,0,0,0
GENE-2738,NO,1,0,0,0,0,0,0
GENE-2739,YES,1,0,0,0,0,0,0
GENE-2740,NO,1,0,0,0,0,0,0
GENE-2741,NO,1,0,0,0,0,0,0
GENE-2742,NO,1,330,394,323,333,334,375
GENE-2743,NO,1,1,2,2,4,1,2
GENE-2744,NO,1,0,0,0,0,0,0
GENE-2745,NO,1,0,0,0,0,0,0
GENE-2746,NO,1,304,331,356,283,270,299
GENE-2747,NO,1,0,0,0,0,0,0
GENE-2748,NO,1,5,4,5,7,3,3
GENE-2749,NO,1,80,157,107,120,110,93
GENE-2750,NO,1,40,85,98,100,105,61
GENE-2751,NO,1,0,0,0,0,0,0
GENE-2752,NO,1,0,0,0,0,0,0
GENE-2753,NO,1,47,17,58,29,47,53
GENE-2754,NO,1,1028,1152,1039,987,1220,1143
GENE-2755,NO,1,0,0,0,0,0,0
GENE-2756,NO,1,0,0,0,0,0,0
GENE-2757,NO,1,601,556,724,861,556,603
GENE-2758,NO,1,0,0,0,0,0,0
GENE-2759,NO,1,1,1,0,0,0,0
GENE-2760,NO,1,0,0,0,0,0,0
GENE-2761,NO,1,0,0,0,0,0,0
GENE-2762,NO,1,0,0,0,0,0,0
GENE-2763,NO,1,0,0,0,0,0,0
GENE-2764,NO,1,0,0,0,0,0,0
GENE-2765,NO,1,0,0,0,0,0,0
GENE-2766,NO,1,0,0,0,0,0,0
GENE-2767,NO,1,596,684,643,749,678,536
GENE-2768,NO,1,0,0,0,0,0,0
GENE-2769,YES,1,0,0,0,0,2,1
GENE-2770,NO,1,9,10,9,10,7,8
GENE-2771,NO,1,121,106,108,121,126,135
GENE-2772,NO,1,269,195,231,175,306,184
GENE-2773,NO,1,0,0,0,0,0,0
GENE-2774,NO,1,159,185,131,197,214,213
GENE-2775,NO,1,0,0,0,0,0,0
GENE-2776,NO,1,0,1,1,0,0,1
GENE-2777,NO,1,11,6,14,3,6,4
GENE-2778,NO,1,0,0,0,0,0,0
GENE-2780,NO,1,1,0,0,0,1,0
GENE-2781,NO,1,0,0,0,0,0,0
GENE-2782,NO,1,326,326,339,293,327,280
GENE-2783,NO,1,0,0,0,0,0,0
GENE-2784,NO,1,756,804,659,667,683,665
GENE-2785,NO,1,0,0,0,0,0,0
GENE-2786,NO,1,0,0,0,0,0,0
GENE-2787,NO,1,0,0,0,0,0,0
GENE-2788,NO,1,0,0,0,0,0,0
GENE-2789,NO,1,0,0,0,0,0,0
GENE-2790,NO,1,137,174,218,96,114,109
GENE-2791,NO,1,0,0,0,0,0,0
GENE-2792,NO,1,0,0,0,0,0,0
GENE-2793,NO,1,0,0,0,0,0,0
GENE-2794,NO,1,0,0,0,0,0,0
GENE-2795,NO,1,0,0,0,0,0,0
GENE-2796,NO,1,0,0,0,0,0,0
GENE-2797,NO,1,515,509,493,468,489,472
GENE-2798,NO,1,0,0,0,0,0,0
GENE-2799,NO,1,1,1,3,4,5,1
GENE-2800,NO,1,0,0,0,0,0,0
GENE-2801,NO,1,0,0,0,0,0,0
GENE-2802,NO,1,0,0,0,0,0,0
GENE-2803,NO,1,0,0,0,0,0,0
GENE-2804,NO,1,0,0,0,0,0,0
GENE-2805,NO,1,0,0,0,0,0,0
GENE-2806,NO,1,0,0,0,0,0,0
GENE-2807,NO,1,0,0,0,0,0,0
GENE-2808,NO,1,119,147,121,162,165,174
GENE-2809,NO,1,0,0,0,0,0,0
GENE-2810,NO,1,279,182,198,208,220,231
GENE-2811,NO,1,0,0,0,0,0,0
GENE-2812,NO,1,10,10,4,6,8,6
GENE-2813,NO,1,0,0,0,0,0,0
GENE-2814,NO,1,0,0,0,0,0,0
GENE-2815,NO,1,0,0,0,0,0,0
GENE-2816,NO,1,9,10,7,6,3,7
GENE-2817,NO,1,0,0,0,0,0,0
GENE-2818,NO,1,0,0,0,0,0,0
GENE-2819,NO,1,0,0,0,0,0,0
GENE-2820,NO,1,0,0,0,0,0,0
GENE-2821,NO,1,0,0,0,0,0,0
GENE-2822,NO,1,0,0,0,0,0,0
GENE-2823,NO,1,1,2,2,2,2,0
GENE-2824,NO,1,0,0,0,0,0,0
GENE-2825,NO,1,0,0,0,0,0,0
GENE-2826,NO,1,0,0,0,0,0,0
GENE-2827,NO,1,0,0,0,0,0,0
GENE-2828,NO,1,0,0,0,0,0,0
GENE-2829,NO,1,56,68,52,57,62,61
GENE-2830,NO,1,0,0,0,0,0,0
GENE-2831,NO,1,0,0,0,0,0,0
GENE-2833,NO,1,0,0,0,0,0,0
GENE-2834,NO,1,0,0,0,0,0,0
GENE-2835,NO,1,0,0,0,0,0,0
GENE-2836,NO,1,0,0,0,0,0,0
GENE-2837,NO,1,0,0,0,0,0,0
GENE-2838,YES,1,0,0,0,0,0,0
GENE-2839,NO,1,43,33,30,36,29,46
GENE-2840,NO,1,0,0,0,0,0,0
GENE-2841,NO,1,0,0,0,0,0,0
GENE-2842,NO,1,0,0,0,0,0,0
GENE-2843,NO,1,0,0,0,0,0,0
GENE-2844,NO,1,1,0,0,0,0,1
GENE-2845,NO,1,0,0,0,0,0,0
GENE-2846,NO,1,0,0,0,0,0,0
GENE-2847,NO,1,0,0,0,0,0,0
GENE-2848,NO,1,0,0,0,0,0,0
GENE-2849,NO,1,0,0,0,0,0,0
GENE-2850,YES,1,0,0,0,0,0,0
GENE-2851,NO,1,0,0,0,0,0,0
GENE-2852,NO,1,0,0,0,0,0,0
GENE-2853,NO,1,0,0,0,0,0,0
GENE-2854,NO,1,0,0,0,0,0,0
GENE-2855,NO,1,1,0,0,0,2,0
GENE-2856,NO,1,6,4,6,14,9,13
GENE-2857,NO,1,4,5,9,11,6,8
GENE-2858,NO,1,0,0,0,0,0,0
GENE-2859,NO,1,0,0,0,0,0,0
GENE-2860,NO,1,0,0,0,0,0,0
GENE-2861,NO,1,0,0,0,0,0,0
GENE-2862,NO,1,0,0,0,0,0,0
GENE-2863,NO,1,0,0,0,0,0,0
GENE-2864,NO,1,0,0,0,0,0,0
GENE-2865,NO,1,527,608,520,674,644,609
GENE-2866,NO,1,0,0,0,0,0,0
GENE-2867,NO,1,0,0,0,0,0,0
GENE-2868,NO,1,1,0,1,0,0,0
GENE-2869,NO,1,397,631,538,513,696,460
GENE-2870,NO,1,0,0,0,0,0,0
GENE-2871,NO,1,0,0,0,0,0,1
GENE-2872,NO,1,0,0,0,0,0,0
GENE-2873,NO,1,0,0,0,0,0,0
GENE-2874,NO,1,0,0,0,0,0,0
GENE-2875,NO,1,0,0,0,0,0,0
GENE-2876,NO,1,287,516,392,162,180,409
GENE-2877,NO,1,0,0,0,0,0,0
GENE-2878,YES,1,0,0,0,0,0,0
GENE-2879,NO,1,0,0,0,0,0,0
GENE-2880,NO,1,0,0,0,0,0,0
GENE-2881,NO,1,254,214,237,276,250,291
GENE-2882,NO,1,0,0,0,0,0,0
GENE-2883,NO,1,18,20,28,31,30,20
GENE-2884,NO,1,22,29,26,25,27,14
GENE-2885,NO,1,0,0,0,0,0,0
GENE-2886,NO,1,0,0,0,0,0,0
GENE-2887,NO,1,0,0,0,0,0,0
GENE-2888,NO,1,55,58,23,60,39,53
GENE-2889,NO,1,0,0,0,0,0,0
GENE-2890,NO,1,0,0,0,0,0,0
GENE-2891,NO,1,0,0,0,0,0,0
GENE-2892,NO,1,0,0,0,0,0,0
GENE-2893,NO,1,0,0,0,0,0,0
GENE-2894,NO,1,0,0,0,0,0,0
GENE-2895,NO,1,0,0,0,0,0,0
GENE-2896,NO,1,4,5,10,0,7,4
GENE-2898,NO,1,0,0,0,0,0,0
GENE-2899,NO,1,0,0,0,0,0,0
GENE-2900,NO,1,0,0,3,0,0,1
GENE-2901,NO,1,67,49,46,104,80,32
GENE-2902,NO,1,3,2,2,1,0,4
GENE-2903,NO,1,0,0,0,0,0,0
GENE-2905,NO,1,0,0,0,0,0,0
GENE-2906,NO,1,603,670,918,777,952,749
GENE-2907,NO,1,0,6,7,4,8,7
GENE-2908,NO,1,2,1,3,1,2,0
GENE-2909,NO,1,17,31,18,23,23,16
GENE-2910,NO,1,474,468,442,462,544,391
GENE-2911,NO,1,21,26,30,36,19,29
GENE-2912,NO,1,0,0,0,0,0,0
GENE-2913,NO,1,0,0,0,0,0,0
GENE-2914,NO,1,2,4,5,3,4,1
GENE-2915,NO,1,0,0,0,0,0,0
GENE-2916,NO,1,0,0,0,0,0,0
GENE-2917,NO,1,1,0,0,0,1,2
GENE-2918,NO,1,0,0,0,0,0,0
GENE-2919,NO,1,0,0,0,0,0,0
GENE-2920,NO,1,0,0,0,0,0,0
GENE-2921,NO,1,0,0,0,0,0,0
GENE-2922,NO,1,0,0,0,0,0,0
GENE-2923,NO,1,0,0,0,0,0,0
GENE-2924,NO,1,0,0,0,0,0,0
GENE-2925,NO,1,0,0,0,0,0,0
GENE-2927,NO,1,0,0,0,0,0,0
GENE-2928,NO,1,10,9,8,10,5,5
GENE-2929,NO,1,304,396,335,354,195,310
GENE-2930,NO,1,0,0,0,0,0,0
GENE-2931,NO,1,0,0,0,0,0,0
GENE-2932,NO,1,0,0,0,0,0,0
GENE-2933,NO,1,0,0,0,0,0,0
GENE-2934,NO,1,0,0,0,0,0,0
GENE-2935,NO,1,0,0,0,0,0,0
GENE-2936,NO,1,0,0,0,0,0,0
GENE-2937,NO,1,0,0,0,0,0,0
GENE-2938,NO,1,161,149,156,195,151,161
GENE-2939,NO,1,0,0,0,0,0,0
GENE-2940,NO,1,1,24,1,1,10,1
GENE-2941,NO,1,0,0,0,0,0,0
GENE-2942,NO,1,0,0,0,0,0,0
GENE-2943,NO,1,0,0,0,0,0,0
GENE-2944,NO,1,0,0,0,0,0,0
GENE-2945,NO,1,12,10,9,13,6,11
GENE-2946,NO,1,0,0,0,0,0,0
GENE-2947,NO,1,0,0,0,0,0,0
GENE-2948,YES,1,0,0,0,0,0,0
GENE-2949,NO,1,0,0,0,0,0,0
GENE-2950,NO,1,1,0,0,0,0,0
GENE-2951,NO,1,0,0,0,0,0,0
GENE-2952,NO,1,0,0,0,0,0,0
GENE-2953,NO,1,0,0,0,0,0,0
GENE-2954,NO,1,10,9,5,20,11,12
GENE-2955,NO,1,0,0,0,0,0,0
GENE-2956,NO,1,0,0,0,0,0,0
GENE-2957,NO,1,0,0,1,0,2,1
GENE-2958,NO,1,0,0,0,0,0,0
GENE-2959,NO,1,0,0,0,0,0,0
GENE-2960,NO,1,0,0,0,0,0,0
GENE-2961,NO,1,0,0,0,0,0,0
GENE-2962,NO,1,0,0,0,0,0,0
GENE-2963,NO,1,1607,1493,1416,1049,1563,949
GENE-2964,NO,1,0,0,0,0,0,0
GENE-2965,NO,1,0,0,0,0,0,0
GENE-2966,NO,1,0,0,0,0,0,0
GENE-2967,NO,1,0,0,0,0,0,0
GENE-2968,NO,1,0,0,0,0,0,0
GENE-2969,NO,1,0,0,0,0,0,0
GENE-2970,NO,1,356,502,480,1059,1049,390
GENE-2971,NO,1,0,0,0,0,0,0
GENE-2972,NO,1,0,0,0,0,0,0
GENE-2973,NO,1,10,10,14,8,6,13
GENE-2974,NO,1,0,0,0,0,0,0
GENE-2975,NO,1,0,0,0,0,0,0
GENE-2976,NO,1,0,0,0,0,0,0
GENE-2977,NO,1,2,0,0,1,2,0
GENE-2978,NO,1,0,0,0,0,0,0
GENE-2979,NO,1,11,7,2,7,4,7
GENE-2980,NO,1,0,0,0,0,0,0
GENE-2981,NO,1,1925,1616,1993,1619,1909,1666
GENE-2982,NO,1,0,0,0,0,0,0
GENE-2983,NO,1,3840,4254,4239,3076,2868,3626
GENE-2984,NO,1,0,0,0,0,0,0
GENE-2985,NO,1,36,57,28,25,32,40
GENE-2986,NO,1,0,0,0,0,0,0
GENE-2987,NO,1,0,0,0,0,0,0
GENE-2988,NO,1,0,0,0,0,0,0
GENE-2989,YES,1,0,0,0,0,0,0
GENE-2990,NO,1,0,0,0,0,0,0
GENE-2991,NO,1,0,0,0,0,0,0
GENE-2992,NO,1,1044,941,1324,1119,877,1096
GENE-2993,NO,1,0,0,0,0,0,0
GENE-2994,NO,1,418,411,336,380,578,282
GENE-2995,NO,1,0,0,0,0,0,0
GENE-2996,NO,1,0,0,0,0,0,0
GENE-2997,NO,1,20,20,21,6,21,21
GENE-2998,NO,1,0,0,0,0,0,0
GENE-2999,NO,1,102,93,126,90,110,134
GENE-3000,NO,1,0,0,0,0,0,0
GENE-3001,NO,1,0,0,0,0,0,0
GENE-3002,NO,1,48,65,52,47,86,78
GENE-3003,NO,1,0,0,0,0,0,0
GENE-3004,NO,1,0,0,0,0,0,0
GENE-3005,NO,1,0,0,0,0,0,0
GENE-3006,NO,1,78,33,37,25,33,64
GENE-3007,NO,1,0,0,0,0,0,0
GENE-3008,NO,1,0,0,0,0,0,0
GENE-3009,NO,1,0,0,0,0,0,0
GENE-3010,NO,1,0,1,0,0,0,3
GENE-3011,NO,1,0,0,0,1,1,0
GENE-3012,NO,1,4,0,5,3,4,0
GENE-3013,NO,1,0,0,0,0,0,0
GENE-3014,NO,1,437,502,607,548,462,436
GENE-3015,NO,1,0,0,0,0,0,0
GENE-3016,NO,1,0,0,0,0,0,0
GENE-3017,NO,1,0,0,0,0,0,0
GENE-3018,NO,1,376,393,382,326,366,335
GENE-3019,NO,1,4,3,3,4,3,2
GENE-3020,NO,1,0,0,0,0,0,0
GENE-3021,NO,1,501,576,426,480,442,477
GENE-3022,NO,1,1,3,0,5,10,7
GENE-3023,NO,1,0,0,0,0,0,0
GENE-3024,NO,1,0,0,0,0,0,0
GENE-3025,NO,1,0,0,0,1,0,0
GENE-3026,NO,1,0,0,0,0,0,0
GENE-3027,NO,1,35,33,31,11,23,32
GENE-3028,NO,1,0,0,0,0,0,0
GENE-3029,NO,1,0,0,0,0,0,0
GENE-3030,NO,1,0,0,0,0,0,0
GENE-3031,NO,1,0,0,0,0,0,0
GENE-3032,YES,1,0,0,0,0,0,0
GENE-3033,NO,1,0,0,0,0,0,0
GENE-3034,NO,1,261,169,239,207,226,164
GENE-3035,NO,1,0,0,0,0,0,0
GENE-3036,NO,1,0,0,0,0,0,0
GENE-3038,NO,1,0,0,0,0,0,0
GENE-3039,NO,1,0,1,2,1,0,3
GENE-3040,NO,1,0,0,0,0,0,0
GENE-3041,NO,1,0,0,0,0,0,0
GENE-3042,NO,1,0,0,0,0,0,0
GENE-3043,NO,1,0,0,0,0,0,0
GENE-3044,NO,1,0,0,0,0,0,0
GENE-3045,NO,1,0,0,0,0,0,0
GENE-3046,NO,1,0,0,0,0,0,0
GENE-3047,NO,1,0,0,0,0,0,0
GENE-3048,NO,1,0,0,0,0,0,0
GENE-3049,NO,1,0,0,0,0,0,0
GENE-3050,NO,1,0,1,0,0,0,0
GENE-3051,NO,1,3,1,2,0,2,0
GENE-3052,NO,1,0,0,0,0,0,0
GENE-3053,NO,1,0,0,0,0,0,0
GENE-3054,NO,1,0,0,0,0,0,0
GENE-3055,NO,1,45,52,40,46,55,49
GENE-3056,NO,1,651,800,614,496,394,520
GENE-3057,NO,1,0,0,0,0,0,0
GENE-3058,NO,1,449,1163,1092,304,657,611
GENE-3059,NO,1,0,0,0,0,0,0
GENE-3060,NO,1,279,303,291,376,305,382
GENE-3061,NO,1,0,0,0,0,0,0
GENE-3062,NO,1,67,51,58,60,58,56
GENE-3063,NO,1,0,0,0,0,0,0
GENE-3064,NO,1,0,0,0,0,0,0
GENE-3065,NO,1,0,0,0,0,0,0
GENE-3066,NO,1,0,0,0,0,0,0
GENE-3067,NO,1,0,0,0,0,0,0
GENE-3068,NO,1,0,0,0,0,0,0
GENE-3069,NO,1,0,0,0,1,1,1
GENE-3070,YES,1,0,0,0,0,0,0
GENE-3071,NO,1,1335,1271,1127,1237,1196,1152
GENE-3072,NO,1,0,0,4,1,0,2
GENE-3073,NO,1,0,0,0,0,0,0
GENE-3074,NO,1,0,0,0,0,0,0
GENE-3075,NO,1,0,0,0,0,0,0
GENE-3076,NO,1,240,211,226,87,365,260
GENE-3077,NO,1,8,8,11,11,7,16
GENE-3078,NO,1,5,3,8,4,7,2
GENE-3079,NO,1,219,232,137,133,103,138
GENE-3080,NO,1,0,0,0,0,0,0
GENE-3081,NO,1,47,45,49,57,70,86
GENE-3082,NO,1,0,1,0,0,0,0
GENE-3083,NO,1,0,0,0,0,0,0
GENE-3084,NO,1,499,526,596,525,489,536
GENE-3085,NO,1,0,0,0,0,0,0
GENE-3086,NO,1,0,0,0,0,0,0
GENE-3087,NO,1,0,0,0,0,0,0
GENE-3088,NO,1,0,0,0,0,0,0
GENE-3089,NO,1,6,2,5,8,7,2
GENE-3090,NO,1,0,0,0,0,0,0
GENE-3091,NO,1,0,0,0,0,0,0
GENE-3092,NO,1,4,3,1,2,2,9
GENE-3094,NO,1,0,0,0,0,0,0
GENE-3095,NO,1,0,0,0,0,0,0
GENE-3096,NO,1,0,0,0,0,0,1
GENE-3097,NO,1,0,0,0,0,0,0
GENE-3098,NO,1,35,40,39,36,45,36
GENE-3099,NO,1,118,105,70,85,125,136
GENE-3100,NO,1,0,0,0,0,0,0
GENE-3101,NO,1,716,1914,1292,1431,743,1068
GENE-3102,NO,1,0,0,0,0,0,0
GENE-3103,NO,1,0,0,0,0,0,0
GENE-3104,NO,1,1,2,0,0,0,3
GENE-3105,NO,1,0,0,0,0,0,0
GENE-3106,NO,1,0,0,0,0,0,0
GENE-3107,NO,1,0,0,0,0,0,0
GENE-3108,NO,1,0,0,0,0,0,0
GENE-3109,NO,1,15,15,21,16,16,13
GENE-3110,NO,1,540,412,382,370,481,689
GENE-3111,YES,1,0,0,0,0,0,0
GENE-3112,NO,1,0,0,0,0,0,0
GENE-3113,NO,1,116,118,124,138,127,104
GENE-3114,NO,1,0,0,0,0,0,0
GENE-3115,NO,1,0,0,0,0,0,0
GENE-3116,NO,1,0,0,0,0,0,0
GENE-3117,NO,1,0,0,0,0,0,0
GENE-3118,NO,1,0,0,0,0,0,0
GENE-3119,NO,1,145,223,204,224,306,179
GENE-3120,NO,1,0,0,0,0,1,1
GENE-3121,NO,1,182,200,141,77,143,62
GENE-3122,NO,1,3,1,1,1,8,2
GENE-3123,NO,1,0,0,0,0,0,1
GENE-3124,NO,1,0,0,0,0,0,0
GENE-3125,NO,1,14,15,16,13,17,7
GENE-3126,NO,1,0,0,0,0,0,0
GENE-3127,NO,1,10,5,10,8,11,2
GENE-3128,NO,1,0,0,0,0,0,0
GENE-3129,NO,1,486,341,251,444,278,446
GENE-3130,NO,1,0,0,0,0,0,0
GENE-3131,NO,1,0,0,0,0,0,0
GENE-3132,NO,1,0,0,0,0,0,0
GENE-3133,NO,1,0,0,0,0,0,0
GENE-3134,NO,1,0,0,0,0,0,0
GENE-3135,NO,1,0,0,1,0,0,0
